Data Sourcde,Data Type,Keep / del,0,1
ListingKey,,keep,P_5af601d6fc76173b3482befe,P_5af60213fc76173b3483627d
ListingKeyNumeric,,del,,
ListingService,,del,Full Service,Full Service
ListingTerms,,keep,['Cash'],
LivingArea,,keep,1036,4837
LivingAreaSource,,keep,Estimate,Agent
LivingAreaUnits,,keep,SquareFeet,SquareFeet
LockBoxLocation,,del,Omnis perspiciatis nesciunt fuga ea nemo asperiores sunt. Sint esse commodi sunt. Ut exercitationem laborum illo nihil temporibus occaecati officia fuga. Provident laborum explicabo non et exercitationem. Eius adipisci ipsam commodi et officiis.,Quia odio ad at aperiam in illum quia. Consequatur omnis molestiae pariatur quo laboriosam incidunt nam omnis. Et praesentium cumque neque libero est dolores non. Temporibus qui autem rerum aliquam asperiores dolores.
LockBoxSerialNumber,,del,vm6fyil8s2aeiz8ukyetodps9,bote56r08ru2erecz447ort6y
LockBoxType,,del,Expedita nobis aut iure tempore sit eum assumenda. Vel sunt perspiciatis veniam eveniet eligendi inventore est. Necessitatibus tempora praesentium recusandae quia. Sequi qui rem vel velit error laudantium dolor.,Quia deleniti culpa non sapiente velit non beatae praesentium. Totam labore quas culpa recusandae et sit hic. Magnam dolore perspiciatis velit aliquid voluptatem neque dolores dolores. Voluptatem quo deleniti ab dolorem explicabo molestias exercitationem.
Longitude,,keep,-122.4203009,-122.4217545
LotDimensionsSource,,keep,Agent,Estimate
LotFeatures,,keep,"['placeat', 'illum', 'nisi', 'provident', 'et']","['sit', 'nesciunt']"
LotSizeAcres,,keep,2,2
LotSizeArea,,keep,,
LotSizeDimensions,,keep,801 x 261 x 701 x 25,737 x 782 x 533 x 794
LotSizeDimensionsSource,,keep,Estimate,Assessor
LotSizeSource,,keep,Agent,Assessor
LotSizeSquareFeet,,keep,1925,1887
LotSizeUnits,,keep,,
MLSAreaMajor,,keep,,
MLSAreaMinor,,keep,,
MainLevelBathrooms,,keep,1,1
MainLevelBedrooms,,keep,,
MaintenanceExpense,,keep,,
MajorChangeTimestamp,,keep,,
MajorChangeType,,keep,Price reduction,Price reduction
MajoreChangeTimestamp,,keep,2017-07-23T15:56:45.316Z,2018-03-15T15:51:17.620Z
Make,,del,,
ManagerExpense,,del,,
MapCoordinate,,del,,
MapCoordinateSource,,del,,
MapURL,,del,,
Media,,keep,"[{'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/10.jpg', 'ShortDescription': 'Congregatio vinculum arceo.', 'MimeType': 'image/jpeg', 'Order': 1, 'MediaObjectID': 'ME_5af601d6fc76173b3482befc'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/02.jpg', 'ShortDescription': 'Combibo statim depraedor blanditiis accusamus causa.', 'MimeType': 'image/jpeg', 'Order': 2, 'MediaObjectID': 'ME_5af601d6fc76173b3482befd'}]","[{'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/13.jpg', 'ShortDescription': 'Carcer id aegrotatio quo cui.', 'MimeType': 'image/jpeg', 'Order': 1, 'MediaObjectID': 'ME_5af60213fc76173b34836274'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/22.jpg', 'ShortDescription': 'Caveo id corporis veritatis ullam dolorem.', 'MimeType': 'image/jpeg', 'Order': 2, 'MediaObjectID': 'ME_5af60213fc76173b34836275'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/09.jpg', 'ShortDescription': 'Stultus velit cerno usque sequi quas.', 'MimeType': 'image/jpeg', 'Order': 3, 'MediaObjectID': 'ME_5af60213fc76173b34836276'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/28.jpg', 'ShortDescription': 'Conatus solio voluptatum sui aut suspendo.', 'MimeType': 'image/jpeg', 'Order': 4, 'MediaObjectID': 'ME_5af60213fc76173b34836277'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/24.jpg', 'ShortDescription': 'Aliqua ut addo aurum vilicus.', 'MimeType': 'image/jpeg', 'Order': 5, 'MediaObjectID': 'ME_5af60213fc76173b34836278'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/19.jpg', 'ShortDescription': 'Taceo repudiandae optio.', 'MimeType': 'image/jpeg', 'Order': 6, 'MediaObjectID': 'ME_5af60213fc76173b34836279'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/33.jpg', 'ShortDescription': 'Sursum deludo infit sint pauper.', 'MimeType': 'image/jpeg', 'Order': 7, 'MediaObjectID': 'ME_5af60213fc76173b3483627a'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/03.jpg', 'ShortDescription': 'Vitae fuga rerum rem adflicto summopere.', 'MimeType': 'image/jpeg', 'Order': 8, 'MediaObjectID': 'ME_5af60213fc76173b3483627b'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/16.jpg', 'ShortDescription': 'Alioqui corrupti conturbo.', 'MimeType': 'image/jpeg', 'Order': 9, 'MediaObjectID': 'ME_5af60213fc76173b3483627c'}]"
MiddleOrJuniorSchool,,keep,Wolff-Dooley,Hodkiewicz Group
MiddleOrJuniorSchoolDistrict,,keep,Rhode Island,Washington
MlsStatus,,keep,Active,Active
MobileDimUnits,,del,,
MobileHomeRemainsYN,,del,,
MobileLength,,del,,
MobileWidth,,del,,
Model,,del,,
ModificationTimestamp,,keep,2018-05-10T20:13:09.570Z,2017-06-20T18:38:15.755Z
NetOperatingIncome,,keep,,
NewConstructionYN,,keep,TRUE,TRUE
NewTaxesExpense,,keep,,
NumberOfBuildings,,keep,,
NumberOfFullTimeEmployees,,del,,
NumberOfLots,,del,,
NumberOfPads,,del,,
NumberOfPartTimeEmployees,,del,,
NumberOfSeparateElectricMeters,,keep,,
NumberOfSeparateGasMeters,,keep,,
NumberOfSeparateWaterMeters,,keep,,
NumberOfUnitsInCommunity,,keep,,
NumberOfUnitsLeased,,keep,,
NumberOfUnitsMoMo,,keep,,
NumberOfUnitsTotal,,keep,79,179
NumberOfUnitsVacant,,keep,,
OccupantName,,del,Jimmie Jarvis Gutkowski,Jordy Bernita Borer
OccupantPhone,,del,(423) 276-9831 x7304,231.564.2353 x5501
OccupantType,,del,Vacant,Owner
OffMarketDate,,keep,,
OffMarketTimestamp,,keep,,
OnMarketDate,,keep,2017-12-02T20:49:26.369Z,2017-10-27T20:50:27.653Z
OnMarketTimestamp,,keep,,
OpenParkingSpaces,,del,,
OpenParkingYN,,del,FALSE,FALSE
OperatingExpense,,keep,,
OperatingExpenseIncludes,,keep,,
OriginalEntryTimestamp,,keep,2017-11-24T17:18:24.509Z,2017-07-22T15:39:05.719Z
OriginalListPrice,,keep,467704,717393
OriginatingSystemID,,keep,test,test
OriginatingSystemKey,,keep,test,test
OriginatingSystemName,,keep,Test,Test
OtherEquipment,,keep,"['Generator', 'Central Vacuum Nozzle', 'Satellite Dish', 'TV Antenna', '']","['', 'Central Vacuum Nozzle']"
OtherExpense,,keep,,
OtherParking,,del,,
OtherStructures,,keep,"['illum', 'impedit']","['nam', 'atque', 'omnis', 'consectetur', 'fugit', 'magni', 'est']"
OwnerName,,del,,
OwnerPays,,del,,
OwnerPhone,,del,,
Ownership,,del,Partnership,Sole P
OwnershipType,,del,,
ParcelNumber,,del,1583,1370
ParkManagerName,,del,,
ParkManagerPhone,,del,,
ParkName,,del,,
ParkingFeatures,,del,,
ParkingTotal,,keep,3,3
PastureArea,,del,,
PatioAndPorchFeatures,,keep,"['perferendis', 'qui', 'dolor', 'id', 'aliquid', 'similique', 'expedita', 'nihil']",
PendingTimestamp,,keep,2017-07-23T13:17:50.354Z,2017-05-29T21:53:43.639Z
PestControlExpense,,del,,
PetsAllowed,,keep,"['Yes', 'No', 'Call', 'Cats OK', 'Dogs OK', 'Number Limit']","['Yes', 'No', 'Call', 'Cats OK', 'Dogs OK']"
PhotosChangeTimestamp,,keep,,
PhotosCount,,keep,2,9
PoolExpense,,keep,,
PoolFeatures,,keep,,
PoolPrivateYN,,keep,FALSE,FALSE
Possession,,keep,,"['Close of Escrow', 'Close Plus 1 Day', 'Close Plus 2 Days', 'Close Plus 3 Days', 'Close Plus 3 to 5 Days', 'Close Plus 30 Days', 'Negotiable', 'Rental Agreement', 'See Remarks', 'Seller Rent Back']"
PossibleUse,,del,,
PostalCity,,del,,
PostalCode,,keep,94103,94103
PostalCodePlus4,,del,,
PreviousListPrice,,keep,588643,316408
PriceChangeTimestamp,,keep,2018-05-07T22:57:07.164Z,2017-09-10T05:06:30.460Z
PrivateOfficeRemarks,,del,"Quae inventore alias quis at modi. Delectus exercitationem nihil magnam. Non tempore laboriosam eius sit illum debitis.
 	Porro sapiente qui exercitationem nobis. Quod ut qui vel voluptatum. Adipisci eaque est asperiores. Itaque modi sit incidunt magnam architecto qui.
 	Eos consectetur eum eos asperiores perspiciatis. Similique ex velit laudantium doloribus cum quam iste. Et fugit esse dolor sint. Odio quo laudantium in quo iste.
 	Autem explicabo neque perferendis eum dolorem sint. Maxime et voluptatem nam voluptatum commodi ut. Occaecati ducimus rem mollitia numquam qui nulla.","Aliquid incidunt suscipit animi laborum repellendus. Dolores voluptas magnam sit itaque nihil a consectetur. Possimus dicta esse accusantium iure dicta cupiditate sint. Est incidunt quis et harum.
 	Autem numquam doloremque ut laudantium quibusdam. Porro minima ipsum quod nihil excepturi consequatur perferendis cumque. Ad eum porro rerum dolores officia.
 	Et ex explicabo nulla ut nesciunt dignissimos earum ab. Earum non debitis soluta rem. Incidunt aut sequi dolorum inventore tempora dicta repudiandae cupiditate.
 	Assumenda corporis explicabo sit maiores. Voluptatibus consequatur non est qui. Ipsa itaque quia sed sint dolor et deleniti."
PrivateRemarks,,del,"Rem veritatis adipisci ipsam rerum ut ex. Et velit dignissimos suscipit velit beatae facilis molestiae ipsam. Ullam quo labore qui voluptas vel magni dicta.
 	Quae animi molestiae voluptatem cupiditate. Qui nisi dolore eaque ducimus debitis reiciendis blanditiis aut. Consequatur molestias libero sunt sunt iusto in facere.
 	Eaque quod tempora ea. Iure est labore non eos ut qui voluptatem. Qui quos quo sint ut recusandae voluptatibus voluptatem.
 	Et quisquam et illum et cumque vero doloremque laudantium. Voluptatum quisquam sapiente aut. Eligendi corporis nemo omnis quo suscipit nulla sint sed. Exercitationem unde qui iusto.","Et voluptas praesentium quaerat debitis totam incidunt. Et debitis et autem veniam aut enim aut. Placeat iure laborum totam asperiores corrupti.
 	Voluptate voluptates sint consequuntur et id. Suscipit eaque aut esse tempora ad. Sit quo corporis ratione cupiditate alias sed perspiciatis. Et commodi velit et aut cum et. Fuga qui in quam at deserunt ratione sint exercitationem.
 	Harum numquam repellat consequuntur porro possimus. Et nemo sit explicabo. Culpa deleniti quis eveniet occaecati et officiis ratione. Iste magni voluptas molestias illo dolor. Aut velit mollitia accusamus.
 	Voluptates velit enim dolores dolorem a harum. Ex quaerat tempore quia dicta. Rerum ipsa est inventore id necessitatibus inventore aliquid tempora. Enim sit quisquam est sit suscipit similique."
ProfessionalManagementExpense,,del,,
PropertyAttachedYN,,keep,TRUE,FALSE
PropertyCondition,,keep,,
PropertySubType,,keep,Single Family Residence,Condominium
PropertyType,,keep,Residential,Business
PublicRemarks,,keep,"Et consequatur alias consequatur reiciendis esse dolorum itaque dolor. Nulla non ut provident culpa consectetur velit ex. Nihil temporibus et voluptatem. Hic officiis a at ea ut praesentium. Corporis iste rerum eligendi eum distinctio ex aut.
 	Ipsam quod voluptas asperiores possimus nemo fugiat exercitationem praesentium. Occaecati cupiditate iusto dolorum. Voluptatem necessitatibus perferendis alias beatae.
 	Necessitatibus ut accusamus et enim. Et alias blanditiis ut. Aperiam at perspiciatis praesentium.
 	Et dolorum fuga dolor ducimus ipsum ex dolore. Possimus harum veritatis ut eaque distinctio nihil rerum quia. Atque et sit eum nihil et ratione. Est facilis libero facere dolorem reprehenderit totam reprehenderit et. Voluptatum consectetur eaque quidem velit eum ducimus perspiciatis.","Sapiente reiciendis iste dolorem reiciendis neque ipsum alias. In incidunt at qui quia. Tempore vero aut et repellat aut. Voluptatem et iure suscipit.
 	Nobis aut ipsa eligendi saepe delectus. Saepe labore non itaque dolorem consequatur ratione id. Numquam qui ex rerum aliquid et rerum. Quisquam vel amet quis officia. Vitae esse sit qui labore iusto nostrum expedita sed.
 	Qui quo ipsum at est quia assumenda iure fugit. Et accusantium dolores nihil rem. Rerum sed provident corporis enim hic dolorum velit incidunt.
 	Aliquam minima fugit rerum dicta mollitia aut sapiente ut. Et consequuntur officiis sapiente quod reiciendis voluptatem. Non atque qui praesentium saepe quidem doloremque consequatur."
PublicSurveyRange,,del,,
PublicSurveySection,,del,,
PublicSurveyTownship,,del,,
PurchaseContractDate,,del,,
RVParkingDimensions,,del,,
RangeArea,,del,,
RentControlYN,,keep,,
RentIncludes,,del,,
RoadFrontageType,,keep,['Freeway frontage'],['Freeway frontage']
RoadResponsibility,,del,,"['City', 'County']"
RoadSurfaceType,,del,Cement,Asphalt
Roof,,keep,['Metal'],"['Metal', 'Gravel']"
RoomsTotal,,del,22,3
SeatingCapacity,,del,,
SecurityFeatures,,del,,
SeniorCommunityYN,,keep,FALSE,FALSE
SerialU,,del,,
SerialX,,del,,
SerialXX,,del,,
Sewer,,keep,['Septic'],['Yes Connected']
ShowingContactName,,keep,Kip Jessyca Lesch,Haven Clinton Altenwerth
ShowingContactPhone,,keep,872.541.2428,606-859-0954 x8446
ShowingContactPhoneExt,,keep,,
ShowingContactType,,keep,Agent,Broker
ShowingInstructions,,keep,"Ut quos porro tempore eos est architecto. Blanditiis recusandae sed qui voluptas quo soluta fugiat. Natus exercitationem voluptates aperiam nihil sed.
 	Nulla laudantium assumenda consectetur. Ipsa voluptatem sint molestiae unde. Dolor sint molestiae et. Temporibus natus amet odit quas est neque quas occaecati. Deleniti et optio et.
 	Aut magni rerum similique. Exercitationem molestias voluptatibus ut soluta a. Perferendis officiis omnis perferendis quia ab.
 	Non mollitia alias eos veritatis nemo a voluptates inventore. Qui asperiores et labore. Dicta et occaecati ex non asperiores minus aliquid et.","Nemo nihil dignissimos delectus eius. Earum consequuntur sapiente nihil. Nobis saepe autem expedita iusto.
 	Eligendi est et et distinctio maiores accusamus quia id. Earum et libero ut corrupti. Tenetur earum autem est quod laboriosam.
 	Alias qui veniam voluptas ut eos. Eius molestiae in non aut eveniet. Dignissimos alias molestiae perspiciatis quaerat est porro. Ipsam maiores numquam iure tenetur ipsam non.
 	Ab blanditiis laborum aperiam in et. Et quibusdam hic hic veritatis ut rem sint. In et sint possimus optio."
SignOnPropertyYN,,keep,FALSE,TRUE
Skirt,,del,,
SourceSystemID,,keep,,
SourceSystemKey,,keep,,
SourceSystemName,,keep,,
SpaFeatures,,del,,
SpecialLicenses,,keep,,
SpecialListingConditions,,keep,"['Standard', 'REO', 'Short Sale', 'Probate']","['Standard', 'REO', 'Short Sale']"
StandardStatus,,keep,Active,Active
StateOrProvince,,keep,CA,CA
StateRegion,,del,,
StatusChangeTimestamp,,keep,2018-05-11T20:49:26.369Z,2018-05-11T20:50:27.653Z
Stories,,keep,1,1
StoriesTotal,,keep,3,3
StreetAdditionalInfo,,del,,
StreetDirPrefix,,del,,
StreetDirSuffix,,del,,
StreetName,,keep,15th St,15th St
StreetNumber,,keep,1637,1684
StreetNumberNumeric,,keep,,
StreetSuffix,,keep,,
StreetSuffixModifier,,keep,,
StructureType,,keep,,
SubAgencyCompensation,,keep,,
SubAgencyCompensationType,,keep,,
SubdivisionName,,keep,dolorum,atque
SuppliesExpense,,del,,
SyndicateTo,,del,"['Zillow', 'Trulia', 'hotspads.com']","['Zillow', 'Trulia']"
SyndicationRemarks,,del,,
TaxAnnualAmount,,keep,625502,113700
TaxAssessedValue,,keep,765384,833605
TaxBlock,,del,Lot 19 of Block 45 of Tract 4879 of Lake Talon,Lot 91 of Block 42 of Tract 1520 of Larkinside
TaxBookNumber,,del,,
TaxExemptions,,del,,
TaxLegalDescription,,del,"Reprehenderit animi qui dolor maiores sit eaque. Omnis sed ut sed ipsam. Possimus quia maiores dignissimos sed odit sit dolores dolor. Iste reiciendis nemo ducimus in. Occaecati est voluptate nobis sapiente sunt quae reiciendis.
 	Distinctio harum libero molestiae. Quia unde reprehenderit incidunt nostrum est. Sit sint voluptas quae corporis et et.","Reiciendis in laboriosam doloremque. Dolorum numquam et eos. Provident esse unde totam deleniti. Qui ad voluptas nihil minima dolor unde molestiae repellendus. Assumenda eaque saepe cumque quia atque cumque optio.
 	Enim enim eligendi corrupti esse ipsa non qui aut. Consectetur sint eum eius molestiae necessitatibus in velit mollitia. Et et ut et consequuntur a ipsum exercitationem. Qui unde fugit velit. Qui corrupti reprehenderit aut rerum."
TaxLot,,del,Lot 30 of Block 85 of Tract 3626 of Reicherthaven,Lot 74 of Block 23 of Tract 3112 of Townebury
TaxMapNumber,,del,,
TaxOtherAnnualAssessmentAmount,,del,,
TaxParcelLetter,,del,,
TaxStatusCurrent,,del,,['Assessed']
TaxTract,,del,Lot 31 of Block 86 of Tract 4318 of New Weldon,Lot 37 of Block 0 of Tract 4293 of West Moshe
TaxYear,,keep,2017,2017
Telephone,,del,['Available'],['Available']
TenantPays,,keep,,
Topography,,del,,
TotalActualRent,,del,,
Township,,del,,
TransactionBrokerCompensation,,del,,
TransactionBrokerCompensationType,,del,,
TrashExpense,,del,,
UnitNumber,,keep,#466,#324
UnitsFurnished,,keep,,
UnparsedAddress,,keep,"1637 15th St, San Francisco, CA 94103","1684 15th St, San Francisco, CA 94103"
Utilities,,keep,,
VacancyAllowance,,keep,,
VacancyAllowanceRate,,keep,,
Vegetation,,del,,
VideosChangeTimestamp,,keep,,
VideosCount,,keep,,
View,,keep,['View'],['View']
ViewYN,,keep,TRUE,FALSE
VirtualTourURLBranded,,keep,,
VirtualTourURLUnbranded,,keep,,
WalkScore,,keep,,
Walkscore,,keep,53,6
WaterBodyName,,del,,
WaterSewerExpense,,del,,
WaterSource,,keep,['Municipal'],"['Municipal', 'Irrigation District', 'Private Utility']"
WaterfrontFeatures,,keep,,
WaterfrontYN,,keep,FALSE,TRUE
WindowFeatures,,keep,,
WithdrawnDate,,keep,,
WoodedArea,,keep,,
WorkmansCompensationExpense,,del,,
YearBuilt,,keep,2004,1995
YearBuiltDetails,,del,Amet possimus ut quasi ea. Assumenda quam ad non sequi molestias voluptatem. Aliquam magni explicabo maxime.,Dolorem dolores non aperiam et ut. Numquam in magni aspernatur. Corporis laudantium itaque eum ea. Voluptatibus ullam maxime beatae.
YearBuiltEffective,,del,,
YearBuiltSource,,keep,Estimate,Estimate
YearEstablished,,del,,
YearsCurrentOwner,,keep,,
Zoning,,keep,IH,GU
ZoningDescription,,keep,Rezone Possible,Agricultural
distanceFrom,,del,0.716679269,0.728776573
url,,keep,https://rets.io/api/v2/test/listings/P_5af601d6fc76173b3482befe,https://rets.io/api/v2/test/listings/P_5af60213fc76173b3483627d